SOC,R0,R1,R2,C1,C2,T
0.109684471,0.051018013,0.000490331,0.0005,20384.45985,200000,-10
0.159829145,0.033255232,0.000503898,0.0005,19885.42353,200000,-10
0.244257992,0.028805841,0.00050397,0.0005,19667.24701,200000,-10
0.286055681,0.025040092,0.000505462,0.0005,19681.54273,200000,-10
0.487131062,0.024254269,0.000505161,0.0005,20230.497,200000,-10
0.486642515,0.021873737,0.00050718,0.0005,19693.80303,200000,-10
0.696047799,0.021629019,0.00050004,0.0005,20364.90758,200000,-10
0.767149863,0.019957841,0.000504438,0.0005,20252.08473,200000,-10
0.890346522,0.020999023,0.000499932,0.0005,20201.20969,200000,-10
0.985512789,0.020897596,0.000504727,0.0005,19848.73883,200000,-10
0.084055466,0.001000137,0.00049907,0.000495631,20127.1588,201695.7649,0
0.121439882,0.012843066,0.000497947,0.000484431,20529.33159,207016.8256,0
0.275060229,0.015773489,0.000495452,0.000503443,20164.82372,199003.7664,0
0.299594591,0.010568913,0.000506356,0.000496275,19554.70217,202673.8409,0
0.451897067,0.012842549,0.000504828,0.00049695,19779.03762,200847.7107,0
0.565691713,0.010162405,0.000504599,0.000498807,19592.02478,202566.3514,0
0.677203234,0.010726533,0.000499319,0.000501132,20057.94523,198330.235,0
0.787878049,0.010155313,0.000505662,0.00049939,19775.01198,200313.3975,0
0.888095779,0.010507843,0.000498598,0.000500443,19945.22997,199863.4095,0
0.99542336,0.01041737,0.000497742,0.000501072,20218.9431,201614.0483,0
0.071110798,0.013846206,0.000517305,0.000499931,19295.09258,197943.7078,10
0.153371203,0.008950557,0.000504511,0.0004919,19973.9125,206282.4189,10
0.229926575,0.008780311,0.000504415,0.000522796,19997.24132,194454.2852,10
0.3329605,0.007834271,0.000511754,0.000497236,19539.13755,199967.0097,10
0.446926319,0.007371312,0.000496082,0.000498209,19976.48365,201208.1448,10
0.564954283,0.006847608,0.000496362,0.000496461,20060.411,201695.0925,10
0.679036072,0.006552556,0.000501225,0.000497273,20076.23433,205113.6228,10
0.78452919,0.006593628,0.000493715,0.000499376,20438.97058,199977.9364,10
0.892843585,0.006898022,0.00050351,0.000503661,19953.10493,196707.5541,10
0.994615265,0.00668035,0.000503348,0.000501774,19871.5676,200136.6125,10
0.065103309,0.017424954,0.000486022,0.000488772,20108.891,203502.8894,25
0.140862842,0.009366072,0.00050176,0.000497864,19824.19056,204200.8139,25
0.231201372,0.008508134,0.000499248,0.000499846,19993.18602,200037.9439,25
0.336262214,0.007834044,0.000496115,0.000495479,20178.12297,202403.3726,25
0.4367403,0.007232895,0.000499789,0.000500232,20137.88387,200030.2059,25
0.55121324,0.006716837,0.000495121,0.000502407,20477.31203,198381.048,25
0.662668404,0.006395642,0.000501191,0.000503902,20088.76679,198503.4131,25
0.772549675,0.006336677,0.000501637,0.000504341,19885.81375,198134.2765,25
0.890257972,0.00660493,0.000497013,0.000500666,20392.82212,199336.2547,25
0.997723571,0.006416031,0.00050321,0.000492471,20001.97694,199950.8149,25
0.00508583,0.00472931,0.00053604,0.000535684,16732.15337,171880.4513,40
0.077334304,0.001706837,0.000504197,0.00049106,19566.18357,206799.8055,40
0.212933763,0.002425138,0.000514078,0.000507067,20344.3909,198967.0011,40
0.262179829,0.001759095,0.000528667,0.000517108,19175.14084,193859.6045,40
0.413139091,0.001945511,0.000490667,0.000511585,20262.94837,203644.7837,40
0.520390223,0.00172803,0.000541283,0.000510458,18447.29543,195065.1482,40
0.636951682,0.001657929,0.000528384,0.0005091,19359.45269,196021.2757,40
0.762809801,0.001752199,0.000512774,0.000500386,19619.1726,192824.0397,40
0.887624617,0.001778161,0.00051786,0.000530881,19398.00219,189488.8157,40
0.994787581,0.001734029,0.000515144,0.000515451,19575.56183,199163.8823,40
