SOC,OCV,T
1,4.204,-10
0.95,4.145,-10
0.9,4.101,-10
0.8,3.964,-10
0.7,3.894,-10
0.6,3.839,-10
0.5,3.803,-10
0.4,3.783,-10
0.3,3.749,-10
0.2,3.706,-10
0.15,3.637,-10
1,4.204,0
0.95,4.149,0
0.9,4.103,0
0.8,3.979,0
0.7,3.906,0
0.6,3.849,0
0.5,3.811,0
0.4,3.784,0
0.3,3.75,0
0.2,3.693,0
0.15,3.687,0
0.1,3.488,0
1,4.201,10
0.95,4.15,10
0.9,4.103,10
0.8,3.989,10
0.7,3.911,10
0.6,3.852,10
0.5,3.813,10
0.4,3.782,10
0.3,3.746,10
0.2,3.701,10
0.15,3.686,10
0.1,3.513,10
1,4.199,25
0.95,4.151,25
0.9,4.104,25
0.8,4.001,25
0.7,3.916,25
0.6,3.856,25
0.5,3.816,25
0.4,3.777,25
0.3,3.738,25
0.2,3.693,25
0.15,3.681,25
0.1,3.532,25
1,4.196,40
0.95,4.147,40
0.9,4.1,40
0.8,4.005,40
0.7,3.916,40
0.6,3.857,40
0.5,3.816,40
0.4,3.772,40
0.3,3.73,40
0.2,3.685,40
0.15,3.674,40
0.1,3.536,40
